title,authors,categories,average_rating,ratings_count,combined_features
The Wee Free Men,Terry Pratchett,Juvenile Fiction,4.27,72982.0,The Wee Free Men Terry Pratchett Juvenile Fiction
Going Postal,Terry Pratchett,Fiction,4.38,924.0,Going Postal Terry Pratchett Fiction
Modern Mind,Peter Watson,Science,4.27,570.0,Modern Mind Peter Watson Science
She Went All the Way,Meg Cabot,Fiction,3.69,12297.0,She Went All the Way Meg Cabot Fiction
Island,Aldous Huxley,Fiction,3.85,17583.0,Island Aldous Huxley Fiction
A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography,4.09,2229.0,A Year in the Life of William Shakespeare James Shapiro Biography & Autobiography
Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,3.76,42096.0,Lucy Sullivan Is Getting Married Marian Keyes Fiction
The Terminal Man,Michael Crichton,Fiction,3.36,20825.0,The Terminal Man Michael Crichton Fiction
The Art of the Novel,Milan Kundera,Literary Criticism,3.96,3544.0,The Art of the Novel Milan Kundera Literary Criticism
The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,4.06,5681.0,The Bromeliad Trilogy Terry Pratchett Juvenile Fiction
"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,4.29,2452.0,"Merry Christmas, Amelia Bedelia Peggy Parish Juvenile Fiction"
Identity,Milan Kundera,Fiction,3.68,260.0,Identity Milan Kundera Fiction
The thief of always,Clive Barker,Fiction,4.19,22123.0,The thief of always Clive Barker Fiction
The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,3.85,236.0,The Illustrated Alchemist Paulo Coelho;Alan R. Clarke;Moebius Fiction
Mars and Venus Book of Days,John Gray,Family & Relationships,3.54,18.0,Mars and Venus Book of Days John Gray Family & Relationships
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,4.25,9963.0,The Last of the Really Great Whangdoodles Julie Andrews Edwards Juvenile Fiction
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,4.15,4030.0,Today I Feel Silly & Other Moods That Make My Day Jamie Lee Curtis Juvenile Fiction
The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,4.33,10010.0,The Missing Piece Meets the Big O Shel Silverstein Juvenile Fiction
"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,4.15,5191.0,"Lafcadio, the Lion Who Shot Back Shel Silverstein Juvenile Fiction"
The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction,4.28,142.0,The Secret Garden Cookbook Amy Cotler Juvenile Nonfiction
Laura's Album,William Anderson,Juvenile Nonfiction,4.3,713.0,Laura's Album William Anderson Juvenile Nonfiction
Quivers,Robin Quivers,African Americans in radio broadcasting,3.51,60.0,Quivers Robin Quivers African Americans in radio broadcasting
Moonspinners,Mary Stewart,Fiction,4.03,5868.0,Moonspinners Mary Stewart Fiction
Small Wonder,Barbara Kingsolver,Literary Collections,4.01,8738.0,Small Wonder Barbara Kingsolver Literary Collections
Worlds Enough & Time,Dan Simmons,Fiction,3.75,923.0,Worlds Enough & Time Dan Simmons Fiction
The Cheese Monkeys,Chip Kidd,Fiction,3.75,4570.0,The Cheese Monkeys Chip Kidd Fiction
Travels,Michael Crichton,Biography & Autobiography,3.95,6812.0,Travels Michael Crichton Biography & Autobiography
Caesar,Colleen McCullough,Fiction,4.36,5825.0,Caesar Colleen McCullough Fiction
The Forever War,Joe Haldeman,Fiction,4.15,103375.0,The Forever War Joe Haldeman Fiction
Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,4.14,2040.0,Amelia Bedelia Goes Camping Peggy Parish Juvenile Fiction
The Secret Sister,Elizabeth Lowell,Fiction,3.65,1164.0,The Secret Sister Elizabeth Lowell Fiction
Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,4.25,7678.0,Amelia Bedelia Helps Out Peggy Parish Juvenile Fiction
Whirlpool,Elizabeth Lowell,Fiction,3.78,1115.0,Whirlpool Elizabeth Lowell Fiction
"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,4.21,3069.0,"Teach Us, Amelia Bedelia Peggy Parish Juvenile Fiction"
Cryptonomicon,Neal Stephenson,Fiction,4.25,80225.0,Cryptonomicon Neal Stephenson Fiction
Falling Up,Shel Silverstein,Juvenile Nonfiction,4.34,114058.0,Falling Up Shel Silverstein Juvenile Nonfiction
Anansi Boys,Neil Gaiman,Fiction,4.02,153485.0,Anansi Boys Neil Gaiman Fiction
Fragile Things,Neil Gaiman,Fiction,4.01,43210.0,Fragile Things Neil Gaiman Fiction
What Went Wrong?,Bernard Lewis,History,3.49,2409.0,What Went Wrong? Bernard Lewis History
Letters from the Earth,Mark Twain,Literary Criticism,4.22,6447.0,Letters from the Earth Mark Twain Literary Criticism
Savannah Blues,Mary Kay Andrews,Fiction,3.98,15417.0,Savannah Blues Mary Kay Andrews Fiction
The Whipping Boy,Sid Fleischman,Juvenile Fiction,3.56,19910.0,The Whipping Boy Sid Fleischman Juvenile Fiction
The Innovator's Dilemma,Clayton M. Christensen,Business & Economics,3.99,28568.0,The Innovator's Dilemma Clayton M. Christensen Business & Economics
A Nose for Murder,Lee Charles Kelley,Fiction,3.47,93.0,A Nose for Murder Lee Charles Kelley Fiction
Happiness,Will Ferguson,Fiction,3.78,2191.0,Happiness Will Ferguson Fiction
Size 12 Is Not Fat,Meg Cabot,Fiction,3.74,73592.0,Size 12 Is Not Fat Meg Cabot Fiction
Warrior of the Light,Paulo Coelho,Fiction,3.7,21578.0,Warrior of the Light Paulo Coelho Fiction
The Devil and Miss Prym,Paulo Coelho,Fiction,3.6,46113.0,The Devil and Miss Prym Paulo Coelho Fiction
The Big Bing,Stanley Bing,Business & Economics,3.08,26.0,The Big Bing Stanley Bing Business & Economics
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,4.06,547207.0,One Hundred Years of Solitude Gabriel Garcia Marquez Fiction
Walt Whitman,Justin Kaplan,Biography & Autobiography,3.99,210.0,Walt Whitman Justin Kaplan Biography & Autobiography
How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,Biography & Autobiography,3.75,10211.0,How to Make Love Like a Porn Star Jenna Jameson;Neil Strauss Biography & Autobiography
The Outsider,Richard Wright,Fiction,4.16,1736.0,The Outsider Richard Wright Fiction
1421,Gavin Menzies,History,3.59,11289.0,1421 Gavin Menzies History
The Andromeda Strain,Michael Crichton,Fiction,3.89,192637.0,The Andromeda Strain Michael Crichton Fiction
Congo,Michael Crichton,Fiction,3.58,140223.0,Congo Michael Crichton Fiction
Johnny and the Dead,Terry Pratchett,Juvenile Fiction,3.78,7733.0,Johnny and the Dead Terry Pratchett Juvenile Fiction
Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,4.41,256.0,Amelia Bedelia 40th Anniversary Collection Peggy Parish Juvenile Fiction
The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction,3.96,24.0,The Girls of Lighthouse Lane #3 Thomas Kinkade;Erika Tamar Juvenile Fiction
The Bradbury Chronicles,Sam Weller,Biography & Autobiography,4.22,352.0,The Bradbury Chronicles Sam Weller Biography & Autobiography
Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,3.74,76.0,Three Rotten Eggs Gregory Maguire Juvenile Fiction
The Wicked Day,Mary Stewart,Fiction,4.09,9875.0,The Wicked Day Mary Stewart Fiction
The Game,Neil Strauss,Biography & Autobiography,3.74,19305.0,The Game Neil Strauss Biography & Autobiography
"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,4.19,5012.0,"The Lion, the Witch and the Wardrobe (picture book edition) C. S. Lewis Juvenile Fiction"
Gold,Isaac Asimov,Fiction,3.99,2393.0,Gold Isaac Asimov Fiction
The Kindness of Strangers,Katrina Kittle,Fiction,4.01,11432.0,The Kindness of Strangers Katrina Kittle Fiction
Built to Last,Jim Collins;Jerry I. Porras,Business & Economics,3.98,49529.0,Built to Last Jim Collins;Jerry I. Porras Business & Economics
Fluke,Christopher Moore,Fiction,3.75,34773.0,Fluke Christopher Moore Fiction
Lord of Light,Roger Zelazny,Fiction,4.1,22530.0,Lord of Light Roger Zelazny Fiction
The Perennial Philosophy,Aldous Huxley,Philosophy,4.23,2959.0,The Perennial Philosophy Aldous Huxley Philosophy
A Crack in the Edge of the World,Simon Winchester,History,3.78,5242.0,A Crack in the Edge of the World Simon Winchester History
Dead Witch Walking,Kim Harrison,Fiction,4.04,97105.0,Dead Witch Walking Kim Harrison Fiction
"The Good, the Bad, and the Undead",Kim Harrison,Fiction,4.26,53112.0,"The Good, the Bad, and the Undead Kim Harrison Fiction"
"Men Are from Mars, Women Are from Venus",John Gray,Family & Relationships,3.54,126108.0,"Men Are from Mars, Women Are from Venus John Gray Family & Relationships"
Sabriel (adult),Garth Nix,Fiction,4.17,1296.0,Sabriel (adult) Garth Nix Fiction
Slouching Toward Nirvana,Charles Bukowski,Poetry,3.99,1901.0,Slouching Toward Nirvana Charles Bukowski Poetry
Bad Childhood---Good Life,Laura Schlessinger,Self-Help,3.92,502.0,Bad Childhood---Good Life Laura Schlessinger Self-Help
Cat Cross Their Graves,Shirley Rousseau Murphy,Fiction,4.3,481.0,Cat Cross Their Graves Shirley Rousseau Murphy Fiction
Cat Breaking Free,Shirley Rousseau Murphy,Fiction,4.2,204.0,Cat Breaking Free Shirley Rousseau Murphy Fiction
Slider,Patrick Robinson,Sports & Recreation,4.18,64.0,Slider Patrick Robinson Sports & Recreation
The Black Dahlia Files,Don Wolfe,True Crime,3.84,600.0,The Black Dahlia Files Don Wolfe True Crime
Metro Girl,Janet Evanovich,Fiction,3.62,28414.0,Metro Girl Janet Evanovich Fiction
Motor Mouth,Janet Evanovich,Fiction,3.67,21885.0,Motor Mouth Janet Evanovich Fiction
Mystic River,Dennis Lehane,Fiction,4.18,105317.0,Mystic River Dennis Lehane Fiction
Great Short Works of Herman Melville,Herman Melville,Fiction,4.02,401.0,Great Short Works of Herman Melville Herman Melville Fiction
The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,Juvenile Fiction,4.03,280.0,The Day I Swapped My Dad for Two Goldfish Neil Gaiman Juvenile Fiction
Eleven Minutes,Paulo Coelho,Fiction,3.69,114826.0,Eleven Minutes Paulo Coelho Fiction
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Psychology,3.77,157734.0,Zen and the Art of Motorcycle Maintenance Robert M. Pirsig Psychology
Ulysses S. Grant,Michael Korda,Biography & Autobiography,3.88,410.0,Ulysses S. Grant Michael Korda Biography & Autobiography
A Dirty Job,Christopher Moore,Fiction,4.07,88016.0,A Dirty Job Christopher Moore Fiction
Quicksilver,Neal Stephenson,Fiction,3.93,29981.0,Quicksilver Neal Stephenson Fiction
Every Book Its Reader,Nicholas A. Basbanes,Literary Criticism,3.96,300.0,Every Book Its Reader Nicholas A. Basbanes Literary Criticism
Flirting With Danger,Suzanne Enoch,Fiction,3.93,3519.0,Flirting With Danger Suzanne Enoch Fiction
Lost Horizon,James Hilton,Fiction,3.92,11794.0,Lost Horizon James Hilton Fiction
The Doors of Perception and Heaven and Hell,Aldous Huxley,Philosophy,3.94,27716.0,The Doors of Perception and Heaven and Hell Aldous Huxley Philosophy
Thanksgiving,Janet Evanovich,Fiction,3.6,10334.0,Thanksgiving Janet Evanovich Fiction
Love Overboard,Janet Evanovich,Fiction,3.65,11223.0,Love Overboard Janet Evanovich Fiction
Back to the Bedroom,Janet Evanovich,Fiction,3.67,9839.0,Back to the Bedroom Janet Evanovich Fiction
The Rocky Road to Romance,Janet Evanovich,Fiction,3.67,9470.0,The Rocky Road to Romance Janet Evanovich Fiction
Thomas Jefferson,Christopher Hitchens,Biography & Autobiography,3.92,2181.0,Thomas Jefferson Christopher Hitchens Biography & Autobiography
Muhammad,Karen Armstrong,Biography & Autobiography,4.04,1662.0,Muhammad Karen Armstrong Biography & Autobiography
Meeting Jesus Again for the First Time,Marcus J. Borg,Religion,4.14,3998.0,Meeting Jesus Again for the First Time Marcus J. Borg Religion
Reading the Bible Again for the First Time,Marcus J. Borg,Religion,4.13,2875.0,Reading the Bible Again for the First Time Marcus J. Borg Religion
Shadow of the Almighty,Elisabeth Elliot,Religion,4.39,6658.0,Shadow of the Almighty Elisabeth Elliot Religion
The Dance of the Dissident Daughter,Sue Monk Kidd,Religion,3.96,5319.0,The Dance of the Dissident Daughter Sue Monk Kidd Religion
C.S. Lewis,C. S. Lewis,Religion,4.31,255.0,C.S. Lewis C. S. Lewis Religion
The Screwtape Letters,C. S. Lewis,Religion,4.22,116735.0,The Screwtape Letters C. S. Lewis Religion
Mere Christianity,C. S. Lewis,Religion,4.32,7316.0,Mere Christianity C. S. Lewis Religion
Learning to Love,Thomas Merton,Religion,4.5,15.0,Learning to Love Thomas Merton Religion
The Mediator #4: Darkest Hour,Meg Cabot,Juvenile Fiction,4.17,30018.0,The Mediator #4: Darkest Hour Meg Cabot Juvenile Fiction
Cash,Johnny Cash,Biography & Autobiography,4.07,16485.0,Cash Johnny Cash Biography & Autobiography
"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,Biography & Autobiography,4.37,112.0,"The Collected Letters of C.S. Lewis, Volume 1 C. S. Lewis Biography & Autobiography"
Touching the Void,Joe Simpson,Sports & Recreation,4.21,42264.0,Touching the Void Joe Simpson Sports & Recreation
Anybody Out There?,Marian Keyes,Fiction,3.91,343.0,Anybody Out There? Marian Keyes Fiction
My Little Pony: Hide-and-Seek,Jennifer Frantz,Juvenile Fiction,4.14,37.0,My Little Pony: Hide-and-Seek Jennifer Frantz Juvenile Fiction
The Confusion,Neal Stephenson,Fiction,4.25,18790.0,The Confusion Neal Stephenson Fiction
Bridge to Terabithia (rack),Katherine Paterson,Juvenile Fiction,3.99,1764.0,Bridge to Terabithia (rack) Katherine Paterson Juvenile Fiction
Practical Demonkeeping,Christopher Moore,Fiction,3.82,36255.0,Practical Demonkeeping Christopher Moore Fiction
Island of the Sequined Love Nun,Christopher Moore,Fiction,3.79,26949.0,Island of the Sequined Love Nun Christopher Moore Fiction
The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction,3.86,28420.0,The Lust Lizard of Melancholy Cove Christopher Moore Fiction
Weetzie Bat,Francesca Lia Block,Juvenile Fiction,3.74,12771.0,Weetzie Bat Francesca Lia Block Juvenile Fiction
Behind the Curtain,Peter Abrahams,Juvenile Fiction,3.9,30.0,Behind the Curtain Peter Abrahams Juvenile Fiction
"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,Juvenile Fiction,3.71,33009.0,"Catherine, Called Birdy (Summer Reading Edition) Karen Cushman Juvenile Fiction"
Wicked Musical Tie-in Edition,Gregory Maguire,Fiction,3.53,2747.0,Wicked Musical Tie-in Edition Gregory Maguire Fiction
Son of a Witch,Gregory Maguire,Fiction,3.47,51493.0,Son of a Witch Gregory Maguire Fiction
This Rough Magic,Mary Stewart,Fiction,4.05,4966.0,This Rough Magic Mary Stewart Fiction
Airs Above the Ground,Mary Stewart,Fiction,4.04,4458.0,Airs Above the Ground Mary Stewart Fiction
The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction,4.15,31501.0,The Mediator #5: Haunted Meg Cabot Juvenile Fiction
Beauty,Robin McKinley,Juvenile Fiction,4.05,3203.0,Beauty Robin McKinley Juvenile Fiction
Mating in Captivity,Esther Perel,Psychology,4.13,7699.0,Mating in Captivity Esther Perel Psychology
Forgotten New York,Kevin Walsh,Travel,4.18,198.0,Forgotten New York Kevin Walsh Travel
The Dead Beat,Marilyn Johnson,Social Science,3.41,1106.0,The Dead Beat Marilyn Johnson Social Science
Charms for the Easy Life,Kaye Gibbons,Fiction,4.02,10983.0,Charms for the Easy Life Kaye Gibbons Fiction
The Reading Group,Elizabeth Noble,Fiction,3.34,6408.0,The Reading Group Elizabeth Noble Fiction
A Couple of April Fools,Gregory Maguire,Juvenile Fiction,3.5,3.0,A Couple of April Fools Gregory Maguire Juvenile Fiction
What Christians Believe,C. S. Lewis,Religion,4.2,517.0,What Christians Believe C. S. Lewis Religion
Psyche in a Dress,Francesca Lia Block,Juvenile Fiction,3.84,2414.0,Psyche in a Dress Francesca Lia Block Juvenile Fiction
YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness,3.82,3099.0,YOU: The Owner's Manual Michael F Roizen;Mehmet C Oz Health & Fitness
The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,4.26,1099.0,The Chronicles of Narnia Movie Tie-in Edition (adult) C. S. Lewis Fiction
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,4.21,615.0,"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack) C. S. Lewis Juvenile Fiction"
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,Juvenile Fiction,3.89,92.0,"The Nightmare Room, Books 1-2-3: The Nightmare Begins! R.L. Stine Juvenile Fiction"
A Quick Bite,Lynsay Sands,Fiction,3.91,34478.0,A Quick Bite Lynsay Sands Fiction
Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,4.27,264013.0,Goodnight Moon 60th Anniversary Edition Margaret Wise Brown Juvenile Fiction
Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,4.16,123044.0,Brave New World and Brave New World Revisited Aldous Huxley Fiction
The Final Solution,Michael Chabon,Fiction,3.31,13455.0,The Final Solution Michael Chabon Fiction
The Cat's Pajamas,Ray Bradbury,Fiction,3.73,1316.0,The Cat's Pajamas Ray Bradbury Fiction
Holy Skirts,Rene Steinke,Fiction,3.61,322.0,Holy Skirts Rene Steinke Fiction
Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction,4.0,20.0,Time For Kids: Butterflies! Editors of TIME For Kids Juvenile Nonfiction
A False Mirror,Charles Todd,Fiction,4.02,2354.0,A False Mirror Charles Todd Fiction
Cracks in My Foundation,Marian Keyes,Fiction,3.81,1569.0,Cracks in My Foundation Marian Keyes Fiction
A Fistful of Charms,Kim Harrison,Fiction,4.28,46881.0,A Fistful of Charms Kim Harrison Fiction
For a Few Demons More,Kim Harrison,Fiction,4.33,47314.0,For a Few Demons More Kim Harrison Fiction
Mysteries of Pittsburgh,Michael Chabon,Fiction,3.64,21338.0,Mysteries of Pittsburgh Michael Chabon Fiction
Everything Is Illuminated tie-in,Jonathan Safran Foer,Fiction,3.9,1754.0,Everything Is Illuminated tie-in Jonathan Safran Foer Fiction
Flight of the Nighthawks,Raymond E. Feist,Fiction,3.95,9378.0,Flight of the Nighthawks Raymond E. Feist Fiction
Into a Dark Realm,Raymond E. Feist,Fiction,4.0,8974.0,Into a Dark Realm Raymond E. Feist Fiction
The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,Health & Fitness,3.08,30.0,The 3-Hour Diet (TM) On the Go (Collins Gem) Jorge Cruise Health & Fitness
The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,3.99,200.0,The Best American Crime Writing 2006 Mark Bowden;Otto Penzler;Thomas H. Cook True Crime
Last of the Wilds,Trudi Canavan,Fiction,4.03,9725.0,Last of the Wilds Trudi Canavan Fiction
Voice of the Gods,Trudi Canavan,Fiction,4.08,9413.0,Voice of the Gods Trudi Canavan Fiction
Missing Mom,Joyce Carol Oates,Fiction,3.54,3425.0,Missing Mom Joyce Carol Oates Fiction
"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,Biography & Autobiography,4.49,140.0,"The Collected Letters of C.S. Lewis, Volume 3 C. S. Lewis Biography & Autobiography"
Touch Not the Cat,Mary Stewart,Fiction,3.91,4857.0,Touch Not the Cat Mary Stewart Fiction
King of the Vagabonds,Neal Stephenson,Fiction,4.16,1859.0,King of the Vagabonds Neal Stephenson Fiction
Odalisque,Neal Stephenson,Fiction,4.2,1505.0,Odalisque Neal Stephenson Fiction
Black Boy,Richard Wright,Biography & Autobiography,4.05,89.0,Black Boy Richard Wright Biography & Autobiography
The Sheltering Sky,Paul Bowles,Fiction,3.91,898.0,The Sheltering Sky Paul Bowles Fiction
Rat Bastards,John Shea,Biography & Autobiography,3.51,34.0,Rat Bastards John Shea Biography & Autobiography
The Last Days of Henry VIII,Robert Hutchinson,Biography & Autobiography,4.14,1460.0,The Last Days of Henry VIII Robert Hutchinson Biography & Autobiography
The Thorn Birds,Colleen McCullough,Fiction,4.23,516.0,The Thorn Birds Colleen McCullough Fiction
Krakatoa,Simon Winchester,History,3.87,14491.0,Krakatoa Simon Winchester History
The Professor and the Madman,Simon Winchester,Biography & Autobiography,3.84,81384.0,The Professor and the Madman Simon Winchester Biography & Autobiography
Hit Parade,Lawrence Block,Fiction,3.86,99.0,Hit Parade Lawrence Block Fiction
The Curtain,Milan Kundera,Literary Collections,3.96,1351.0,The Curtain Milan Kundera Literary Collections
"A Hard Day's Write, 3e",Steve Turner,Music,4.18,152.0,"A Hard Day's Write, 3e Steve Turner Music"
"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,Juvenile Fiction,4.21,56.0,"The Lion, the Witch and the Wardrobe Read-Aloud Edition C. S. Lewis;Pauline Baynes Juvenile Fiction"
"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,3.68,126.0,"Mambo Kings Play Songs of Love, The Tie-in Oscar Hijuelos Fiction"
Sex with the Queen,Eleanor Herman,History,3.91,3676.0,Sex with the Queen Eleanor Herman History
Brave New World,Aldous Huxley,Fiction,3.98,12332.0,Brave New World Aldous Huxley Fiction
Queen of Babble,Meg Cabot,Fiction,3.69,59613.0,Queen of Babble Meg Cabot Fiction
"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,4.04,86130.0,"Animal, Vegetable, Miracle Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp Biography & Autobiography"
Good Omens,Neil Gaiman;Terry Pratchett,Fiction,4.25,373135.0,Good Omens Neil Gaiman;Terry Pratchett Fiction
Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,3.78,10467.0,Dates From Hell Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland Fiction
Continental Drift,Russell Banks,Fiction,3.87,2744.0,Continental Drift Russell Banks Fiction
The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction,3.89,2079.0,The Burglar Who Thought He Was Bogart Lawrence Block Fiction
Next,Michael Crichton,Fiction,3.49,57257.0,Next Michael Crichton Fiction
How to Be Popular,Meg Cabot,Juvenile Fiction,3.54,19183.0,How to Be Popular Meg Cabot Juvenile Fiction
The Annotated Charlotte's Web,E. B. White,Juvenile Nonfiction,4.16,41.0,The Annotated Charlotte's Web E. B. White Juvenile Nonfiction
Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,Juvenile Fiction,4.1,57.0,Charlotte's Web: Wilbur Finds a Friend Jennifer Frantz Juvenile Fiction
The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction,3.85,11872.0,The Autumn of the Patriarch Gabriel Garcia Marquez Fiction
How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,Comics & Graphic Novels,3.31,159.0,How to Make Money Like a Porn Star Neil Strauss;Bernard Chang Comics & Graphic Novels
Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,4.18,193862.0,Little House in the Big Woods Laura Ingalls Wilder Juvenile Fiction
Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction,4.06,44132.0,Farmer Boy Laura Ingalls Wilder Juvenile Fiction
The Long Winter,Laura Ingalls Wilder,Juvenile Fiction,4.14,66192.0,The Long Winter Laura Ingalls Wilder Juvenile Fiction
Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,4.18,70683.0,Little Town on the Prairie Laura Ingalls Wilder Juvenile Fiction
The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,3.88,27390.0,The First Four Years Laura Ingalls Wilder Juvenile Fiction
The Alchemist - Gift Edition,Paulo Coelho,Fiction,3.85,814.0,The Alchemist - Gift Edition Paulo Coelho Fiction
Pretty Things,Liz Goldwyn,Biography & Autobiography,4.31,162.0,Pretty Things Liz Goldwyn Biography & Autobiography
Eaters of the Dead,Michael Crichton,Fiction,3.66,27412.0,Eaters of the Dead Michael Crichton Fiction
Genome,Matt Ridley,Science,4.03,20077.0,Genome Matt Ridley Science
The Zero,Jess Walter,Fiction,3.5,1930.0,The Zero Jess Walter Fiction
Kitchen Confidential Updated Ed,Anthony Bourdain,Biography & Autobiography,4.06,168706.0,Kitchen Confidential Updated Ed Anthony Bourdain Biography & Autobiography
DREAM & THE UNDERWOR,James Hillman,Psychology,4.23,709.0,DREAM & THE UNDERWOR James Hillman Psychology
The Crying of Lot 49,Thomas Pynchon,Fiction,3.7,54061.0,The Crying of Lot 49 Thomas Pynchon Fiction
An American Childhood,Annie Dillard,Biography & Autobiography,3.91,7086.0,An American Childhood Annie Dillard Biography & Autobiography
Teaching a Stone to Talk,Annie Dillard,Literary Criticism,4.2,4046.0,Teaching a Stone to Talk Annie Dillard Literary Criticism
Holy the Firm,Annie Dillard,Literary Criticism,4.22,3562.0,Holy the Firm Annie Dillard Literary Criticism
Think on These Things,Jiddu Krishnamurti,Religion,4.4,2288.0,Think on These Things Jiddu Krishnamurti Religion
The Dance of Intimacy,Harriet Lerner,Psychology,4.06,7128.0,The Dance of Intimacy Harriet Lerner Psychology
Tell My Horse,Zora Neale Hurston,Fiction,3.97,1380.0,Tell My Horse Zora Neale Hurston Fiction
Jonah's Gourd Vine,Zora Neale Hurston,Fiction,4.0,1619.0,Jonah's Gourd Vine Zora Neale Hurston Fiction
The Chaneysville Incident,David Bradley,History,3.96,650.0,The Chaneysville Incident David Bradley History
The Writing Life,Annie Dillard,Literary Criticism,4.03,11177.0,The Writing Life Annie Dillard Literary Criticism
The Lost Continent,Bill Bryson,Travel,3.83,43779.0,The Lost Continent Bill Bryson Travel
Three by Annie Dillard,Annie Dillard,Fiction,4.34,550.0,Three by Annie Dillard Annie Dillard Fiction
Declarations of Independence,Howard Zinn,Political science,4.26,720.0,Declarations of Independence Howard Zinn Political science
The Complete Stories,Zora Neale Hurston,Fiction,4.25,735.0,The Complete Stories Zora Neale Hurston Fiction
"Legends, Lies & Cherished Myths of World History",Richard Shenkman,History,3.48,215.0,"Legends, Lies & Cherished Myths of World History Richard Shenkman History"
The Infinite Plan,Isabel Allende,Fiction,3.71,7102.0,The Infinite Plan Isabel Allende Fiction
Soul Mates,Thomas Moore,Psychology,4.0,4122.0,Soul Mates Thomas Moore Psychology
"Cathedral, Forge and Waterwheel",Joseph Gies,History,3.85,612.0,"Cathedral, Forge and Waterwheel Joseph Gies History"
The Throne of the Third Heaven of the Nations Millennium General Assembly,Denis Johnson,Poetry,4.16,556.0,The Throne of the Third Heaven of the Nations Millennium General Assembly Denis Johnson Poetry
Success Stories,Russell Banks,Fiction,3.72,148.0,Success Stories Russell Banks Fiction
Testaments Betrayed,Milan Kundera,Literary Collections,4.04,1247.0,Testaments Betrayed Milan Kundera Literary Collections
Mr. Ives' Christmas,Oscar Hijuelos,Fiction,3.76,912.0,Mr. Ives' Christmas Oscar Hijuelos Fiction
Slowness,Milan Kundera,Fiction,3.66,9454.0,Slowness Milan Kundera Fiction
As Nature Made Him,John Colapinto,Medical,3.97,5282.0,As Nature Made Him John Colapinto Medical
The Active Side of Infinity,Carlos Castaneda,"Body, Mind & Spirit",4.16,1890.0,"The Active Side of Infinity Carlos Castaneda Body, Mind & Spirit"
